flight_id,flight_no,airline,destination,departure_time,flight_status
FL-0001,GA715,Garuda Indonesia,Bali,2024-01-01 07:27:00,On Time
FL-0002,SQ211,Singapore Airlines,Singapore,2024-01-01 08:02:00,On Time
FL-0003,MH122,Malaysia Airlines,Kuala Lumpur,2024-01-01 08:46:00,On Time
FL-0004,TG476,Thai Airways,Bangkok,2024-01-01 09:04:00,On Time
FL-0005,MU502,China Eastern,Shanghai,2024-01-01 09:16:00,On Time
FL-0006,PR211,Philippine Airlines,Manila,2024-01-01 09:25:00,On Time
FL-0007,OZ602,Asiana Airlines,Seoul,2024-01-01 09:47:00,Delayed
FL-0008,JL771,Japan Airlines,Tokyo,2024-01-01 09:57:00,On Time
FL-0009,CX101,Cathay Pacific,Hong Kong,2024-01-01 10:32:00,On Time
FL-0010,KE601,Korean Air,Seoul,2024-01-01 11:31:00,On Time
FL-0011,QF7,Qantas,Los Angeles,2024-01-01 11:52:00,On Time
FL-0012,SQ213,Singapore Airlines,Singapore,2024-01-01 13:29:00,On Time
FL-0013,CX103,Cathay Pacific,Hong Kong,2024-01-01 15:44:00,On Time
FL-0014,QF1,Qantas,Singapore,2024-01-01 16:25:00,On Time
FL-0015,QR007,Qatar Airways,Doha,2024-01-01 20:46:00,On Time
FL-0016,EK413,Emirates,Dubai,2024-01-01 21:09:00,Delayed
FL-0017,GA715,Garuda Indonesia,Bali,2024-01-02 07:31:00,On Time
FL-0018,TR13,Scoot,Singapore,2024-01-02 07:49:00,On Time
FL-0019,SQ211,Singapore Airlines,Singapore,2024-01-02 07:59:00,On Time
FL-0020,5J32,Cebu Pacific,Manila,2024-01-02 08:02:00,On Time
FL-0021,MH122,Malaysia Airlines,Kuala Lumpur,2024-01-02 08:41:00,On Time
FL-0022,MU502,China Eastern,Shanghai,2024-01-02 09:16:00,On Time
FL-0023,CA781,Air China,Beijing,2024-01-02 10:01:00,Delayed
FL-0024,JL771,Japan Airlines,Tokyo,2024-01-02 10:02:00,On Time
FL-0025,CX101,Cathay Pacific,Hong Kong,2024-01-02 10:32:00,On Time
FL-0026,NH880,ANA,Tokyo,2024-01-02 11:10:00,On Time
