Customer_ID,Nationality,Membership_Level,Age_Group,Registration_Date,Preferred_Category
C-0001,AU,Non-Member,50s+,2023-08-05,Cosmetics
C-0002,AU,Non-Member,40s,2024-10-05,Cosmetics
C-0003,NZ,Gold,50s+,2024-11-01,Confectionery
C-0004,CA,Non-Member,20s,2025-09-11,Indigenous
C-0005,IN,Silver,30s,2024-07-24,Cosmetics
C-0006,AU,Non-Member,40s,2025-05-13,Souvenir
C-0007,US,Silver,50s+,2026-03-09,Apparel
C-0008,US,Non-Member,20s,2024-01-30,Souvenir
C-0009,IN,Non-Member,50s+,2025-10-25,Confectionery
C-0010,CN,Non-Member,30s,2025-07-16,Cosmetics
C-0011,GB,Non-Member,30s,2025-01-18,Tea
C-0012,GB,Silver,50s+,2026-01-08,Indigenous
C-0013,JP,Non-Member,30s,2023-12-05,Souvenir
C-0014,KR,Non-Member,40s,2024-04-19,Confectionery
C-0015,SG,Silver,50s+,2023-11-30,Cosmetics
C-0016,JP,Non-Member,40s,2025-10-15,Confectionery
C-0017,CN,Non-Member,30s,2025-06-12,Cosmetics
C-0018,CN,Non-Member,20s,2024-09-25,Cosmetics
C-0019,CN,Silver,40s,2025-07-01,Souvenir
C-0020,US,Non-Member,30s,2023-10-31,Indigenous
C-0021,JP,Non-Member,20s,2023-06-05,Confectionery
C-0022,GB,Non-Member,20s,2025-09-08,Apparel
C-0023,GB,Silver,50s+,2025-05-08,Souvenir
C-0024,NZ,Gold,30s,2023-09-04,Souvenir
C-0025,CN,Non-Member,40s,2024-03-26,Liquor
C-0026,KR,Non-Member,20s,2026-01-29,Confectionery
C-0027,IN,Gold,20s,2024-10-08,Confectionery
C-0028,PH,Non-Member,40s,2025-08-01,Souvenir
C-0029,AU,Gold,20s,2025-05-16,Confectionery
C-0030,AU,Non-Member,20s,2025-10-24,Confectionery
C-0031,GB,Non-Member,40s,2023-05-01,Tea
C-0032,KR,Gold,40s,2025-07-02,Confectionery
C-0033,CN,Non-Member,20s,2025-08-15,Cosmetics
C-0034,CN,Diamond,30s,2025-12-15,Cosmetics
C-0035,KR,Non-Member,50s+,2025-06-25,Honey
C-0036,NZ,Non-Member,40s,2024-02-04,Tea
C-0037,JP,Non-Member,20s,2024-06-24,Cosmetics
C-0038,CN,Non-Member,20s,2024-09-01,Souvenir
C-0039,GB,Non-Member,30s,2024-01-16,Apparel
C-0040,AU,Non-Member,30s,2024-08-11,Liquor
C-0041,GB,Diamond,50s+,2026-03-06,Souvenir
C-0042,JP,Non-Member,40s,2024-09-30,Souvenir
C-0043,KR,Silver,30s,2025-12-22,Confectionery
C-0044,IN,Gold,30s,2023-12-08,Confectionery
C-0045,CN,Non-Member,50s+,2026-02-26,Cosmetics
C-0046,CN,Diamond,50s+,2025-12-05,Honey
C-0047,IN,Gold,50s+,2024-09-29,Confectionery
C-0048,US,Gold,40s,2026-01-21,Indigenous
C-0049,GB,Silver,50s+,2025-09-30,Tea
C-0050,KR,Silver,50s+,2024-07-30,Cosmetics
C-0051,US,Non-Member,20s,2026-01-15,Apparel
C-0052,CN,Gold,20s,2025-05-14,Souvenir
C-0053,AU,Non-Member,50s+,2023-10-11,Liquor
C-0054,CN,Silver,30s,2025-12-19,Liquor
C-0055,NZ,Silver,50s+,2024-05-26,Souvenir
C-0056,GB,Non-Member,20s,2025-10-04,Tea
C-0057,TH,Silver,30s,2024-07-20,Confectionery
C-0058,AU,Non-Member,50s+,2025-10-01,Souvenir
C-0059,CN,Non-Member,40s,2024-03-06,Honey
C-0060,CN,Non-Member,30s,2023-08-24,Cosmetics
C-0061,NZ,Non-Member,50s+,2025-03-23,Souvenir
C-0062,KR,Gold,50s+,2024-10-29,Cosmetics
C-0063,CA,Silver,50s+,2023-05-22,Souvenir
C-0064,PH,Silver,30s,2024-06-19,Confectionery
C-0065,PH,Non-Member,30s,2023-10-08,Confectionery
C-0066,CN,Gold,40s,2025-08-27,Cosmetics
C-0067,NZ,Silver,40s,2025-11-09,Cosmetics
C-0068,JP,Silver,20s,2025-08-21,Cosmetics
C-0069,PH,Gold,50s+,2024-12-28,Souvenir
C-0070,SG,Silver,20s,2025-03-27,Confectionery
C-0071,GB,Non-Member,50s+,2023-03-30,Tea
C-0072,CN,Diamond,30s,2024-01-20,Honey
C-0073,KR,Non-Member,20s,2024-10-27,Cosmetics
C-0074,KR,Non-Member,40s,2024-06-11,Jewellery
C-0075,NZ,Non-Member,50s+,2024-03-21,Honey
C-0076,KR,Non-Member,50s+,2026-02-01,Confectionery
C-0077,CN,Non-Member,40s,2023-10-18,Liquor
C-0078,NZ,Non-Member,30s,2023-03-30,Souvenir
C-0079,KR,Non-Member,20s,2023-07-31,Honey
C-0080,AU,Gold,50s+,2023-07-03,Souvenir
C-0081,IN,Non-Member,30s,2023-06-21,Confectionery
C-0082,JP,Silver,20s,2023-12-27,Cosmetics
C-0083,KR,Non-Member,40s,2023-12-24,Honey
C-0084,PH,Non-Member,40s,2025-11-12,Souvenir
C-0085,GB,Silver,30s,2024-02-12,Tea
C-0086,PH,Silver,20s,2026-02-05,Souvenir
C-0087,GB,Non-Member,20s,2025-03-11,Tea
C-0088,CN,Gold,20s,2025-02-24,Honey
C-0089,GB,Silver,40s,2025-04-21,Apparel
C-0090,IN,Non-Member,40s,2024-04-06,Tea
C-0091,GB,Non-Member,40s,2026-02-10,Indigenous
C-0092,CN,Silver,30s,2023-05-31,Honey
C-0093,KR,Non-Member,20s,2024-08-20,Confectionery
C-0094,CN,Non-Member,50s+,2026-03-22,Liquor
C-0095,US,Silver,20s,2023-04-19,Apparel
C-0096,NZ,Non-Member,40s,2023-12-14,Confectionery
C-0097,CN,Non-Member,50s+,2024-08-28,Confectionery
C-0098,JP,Non-Member,20s,2024-06-29,Tea
C-0099,SG,Non-Member,30s,2024-07-25,Tea
C-0100,CN,Silver,30s,2026-01-20,Confectionery
C-0101,CN,Non-Member,20s,2025-10-18,Honey
C-0102,GB,Non-Member,20s,2024-09-23,Apparel
C-0103,SG,Non-Member,40s,2025-02-26,Confectionery
C-0104,GB,Non-Member,30s,2024-09-08,Apparel
C-0105,IN,Non-Member,20s,2024-12-12,Souvenir
C-0106,CN,Non-Member,20s,2025-10-15,Souvenir
C-0107,KR,Non-Member,30s,2026-01-26,Liquor
C-0108,US,Non-Member,40s,2023-12-18,Souvenir
C-0109,KR,Non-Member,40s,2025-11-17,Cosmetics
C-0110,AU,Silver,40s,2023-08-23,Cosmetics
C-0111,AU,Diamond,20s,2025-09-04,Liquor
C-0112,NZ,Gold,20s,2023-04-29,Tea
C-0113,JP,Diamond,20s,2023-08-22,Confectionery
C-0114,AU,Non-Member,50s+,2025-01-23,Souvenir
C-0115,US,Silver,40s,2025-03-16,Souvenir
C-0116,US,Non-Member,30s,2025-05-01,Indigenous
C-0117,JP,Non-Member,50s+,2024-03-25,Confectionery
C-0118,JP,Non-Member,40s,2024-05-31,Souvenir
C-0119,SG,Diamond,50s+,2023-05-17,Cosmetics
C-0120,CN,Silver,20s,2025-02-20,Cosmetics
C-0121,SG,Non-Member,30s,2023-09-25,Cosmetics
C-0122,KR,Non-Member,50s+,2023-07-21,Jewellery
C-0123,AU,Silver,40s,2026-01-13,Confectionery
C-0124,CN,Non-Member,50s+,2023-10-16,Cosmetics
C-0125,GB,Non-Member,50s+,2024-04-30,Souvenir
C-0126,US,Non-Member,20s,2023-09-28,Apparel
C-0127,NZ,Diamond,20s,2023-08-18,Confectionery
C-0128,CN,Non-Member,40s,2025-05-05,Liquor
C-0129,SG,Non-Member,20s,2023-04-06,Tea
C-0130,JP,Non-Member,20s,2024-07-03,Confectionery
C-0131,AU,Non-Member,40s,2024-04-13,Cosmetics
C-0132,PH,Non-Member,30s,2024-06-24,Souvenir
C-0133,US,Non-Member,50s+,2025-10-06,Jewellery
C-0134,KR,Non-Member,20s,2024-11-06,Confectionery
C-0135,CN,Non-Member,20s,2023-04-29,Honey
C-0136,GB,Non-Member,50s+,2024-08-17,Indigenous
C-0137,CN,Gold,30s,2025-11-16,Confectionery
C-0138,KR,Non-Member,40s,2024-11-02,Cosmetics
C-0139,GB,Non-Member,30s,2023-03-30,Indigenous
C-0140,CN,Non-Member,40s,2025-06-09,Cosmetics
C-0141,AU,Non-Member,20s,2025-06-18,Confectionery
C-0142,KR,Non-Member,30s,2023-08-18,Confectionery
C-0143,SG,Non-Member,50s+,2024-07-25,Honey
C-0144,IN,Non-Member,40s,2023-07-25,Tea
C-0145,JP,Non-Member,20s,2023-08-31,Souvenir
C-0146,JP,Non-Member,30s,2023-08-20,Confectionery
C-0147,IN,Non-Member,30s,2025-05-09,Cosmetics
C-0148,GB,Silver,40s,2024-09-29,Apparel
C-0149,JP,Silver,40s,2024-02-24,Confectionery
C-0150,GB,Silver,50s+,2023-04-27,Tea
C-0151,CN,Non-Member,30s,2024-09-26,Souvenir
C-0152,JP,Silver,50s+,2024-10-06,Confectionery
C-0153,SG,Non-Member,30s,2025-05-19,Honey
C-0154,AU,Non-Member,50s+,2024-12-10,Liquor
C-0155,CA,Non-Member,40s,2023-08-23,Tea
C-0156,NZ,Non-Member,50s+,2023-05-19,Confectionery
C-0157,NZ,Non-Member,30s,2025-05-11,Souvenir
C-0158,NZ,Non-Member,20s,2026-01-28,Confectionery
C-0159,GB,Silver,50s+,2024-10-10,Tea
C-0160,NZ,Non-Member,50s+,2024-07-24,Souvenir
C-0161,KR,Silver,40s,2023-11-09,Honey
C-0162,CA,Non-Member,30s,2025-12-27,Souvenir
C-0163,AU,Silver,40s,2025-04-15,Confectionery
C-0164,KR,Non-Member,30s,2023-08-14,Liquor
C-0165,KR,Non-Member,50s+,2025-11-04,Honey
C-0166,CN,Non-Member,40s,2024-12-12,Cosmetics
C-0167,CN,Silver,20s,2024-12-31,Honey
C-0168,AU,Non-Member,50s+,2023-09-15,Confectionery
C-0169,JP,Non-Member,20s,2024-09-21,Souvenir
C-0170,CN,Non-Member,30s,2024-07-21,Souvenir
C-0171,GB,Non-Member,40s,2023-04-01,Tea
C-0172,CN,Non-Member,50s+,2024-05-30,Confectionery
C-0173,KR,Non-Member,50s+,2023-08-19,Cosmetics
C-0174,CN,Non-Member,40s,2023-04-10,Cosmetics
C-0175,JP,Non-Member,20s,2025-09-14,Tea
C-0176,CN,Non-Member,50s+,2026-03-21,Souvenir
C-0177,AU,Non-Member,40s,2024-12-09,Confectionery
C-0178,AU,Non-Member,20s,2023-06-04,Cosmetics
C-0179,NZ,Gold,20s,2024-01-26,Souvenir
C-0180,US,Non-Member,40s,2025-03-13,Apparel
C-0181,US,Gold,50s+,2025-03-19,Souvenir
C-0182,KR,Silver,40s,2025-05-06,Cosmetics
