Trans_ID,Line_No,Product_SKU,Category,Quantity,Unit_Price,Line_Amount,Line_Cost,Gross_Profit,Promo_ID
T-00001,1,SKU-063,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00002,1,SKU-012,Cosmetics,4,12.0,48.0,19.2,28.8,
T-00002,2,SKU-006,Cosmetics,3,22.0,66.0,26.4,39.6,
T-00003,1,SKU-035,Jewellery,2,120.0,240.0,96.0,144.0,
T-00003,2,SKU-047,Souvenir,1,9.0,9.0,3.15,5.85,
T-00004,1,SKU-062,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00004,2,SKU-051,Souvenir,1,18.0,18.0,6.3,11.7,
T-00005,1,SKU-088,Honey,1,60.0,60.0,27.0,33.0,
T-00006,1,SKU-063,Confectionery,1,7.0,7.0,3.5,3.5,
T-00006,2,SKU-097,Indigenous,1,110.0,110.0,33.0,77.0,
T-00007,1,SKU-089,Honey,2,90.0,180.0,81.0,99.0,
T-00007,2,SKU-011,Cosmetics,6,9.0,45.0,21.6,23.4,IP-01
T-00007,3,SKU-050,Souvenir,5,10.0,50.0,17.5,32.5,
T-00008,1,SKU-107,Tea,1,42.0,42.0,16.8,25.2,
T-00008,2,SKU-097,Indigenous,1,110.0,110.0,33.0,77.0,
T-00009,1,SKU-067,Confectionery,1,22.0,22.0,11.0,11.0,
T-00009,2,SKU-034,Jewellery,1,85.0,85.0,34.0,51.0,
T-00010,1,SKU-108,Tea,1,62.0,62.0,24.8,37.2,
T-00010,2,SKU-063,Confectionery,1,7.0,7.0,3.5,3.5,
T-00011,1,SKU-048,Souvenir,1,20.0,20.0,7.0,13.0,
T-00011,2,SKU-027,Liquor,1,210.0,210.0,115.5,94.5,
T-00011,3,SKU-107,Tea,1,42.0,42.0,16.8,25.2,
T-00012,1,SKU-056,Souvenir,1,18.0,18.0,6.3,11.7,
T-00013,1,SKU-088,Honey,1,60.0,60.0,27.0,33.0,
T-00013,2,SKU-076,Confectionery,1,11.0,11.0,5.5,5.5,
T-00013,3,SKU-095,Indigenous,1,28.0,28.0,8.4,19.6,
T-00014,1,SKU-085,Apparel,1,18.0,18.0,7.2,10.8,
T-00014,2,SKU-048,Souvenir,1,20.0,20.0,7.0,13.0,
T-00015,1,SKU-048,Souvenir,1,20.0,20.0,7.0,13.0,
T-00016,1,SKU-055,Souvenir,1,45.0,45.0,15.75,29.25,
T-00017,1,SKU-061,Confectionery,1,7.0,7.0,3.5,3.5,
T-00017,2,SKU-077,Confectionery,2,17.0,34.0,17.0,17.0,
T-00018,1,SKU-035,Jewellery,2,120.0,240.0,96.0,144.0,
T-00018,2,SKU-035,Jewellery,2,120.0,240.0,96.0,144.0,
T-00018,3,SKU-085,Apparel,1,18.0,18.0,7.2,10.8,
T-00019,1,SKU-051,Souvenir,5,18.0,90.0,31.5,58.5,
T-00020,1,SKU-076,Confectionery,3,11.0,33.0,16.5,16.5,
T-00020,2,SKU-089,Honey,1,90.0,90.0,40.5,49.5,
T-00020,3,SKU-059,Confectionery,2,22.0,44.0,22.0,22.0,
T-00020,4,SKU-094,Honey,1,45.0,45.0,20.25,24.75,
T-00021,1,SKU-047,Souvenir,4,9.0,36.0,12.6,23.4,
T-00022,1,SKU-009,Cosmetics,1,45.0,45.0,18.0,27.0,
T-00023,1,SKU-094,Honey,1,45.0,45.0,20.25,24.75,
T-00024,1,SKU-106,Tea,1,22.0,22.0,8.8,13.2,
T-00025,1,SKU-070,Confectionery,3,12.0,36.0,18.0,18.0,
T-00025,2,SKU-062,Confectionery,3,7.0,21.0,10.5,10.5,
T-00025,3,SKU-047,Souvenir,1,9.0,9.0,3.15,5.85,
T-00026,1,SKU-014,Cosmetics,1,27.0,27.0,10.8,16.2,
T-00026,2,SKU-107,Tea,1,42.0,42.0,16.8,25.2,
T-00027,1,SKU-006,Cosmetics,4,22.0,88.0,35.2,52.8,
T-00028,1,SKU-094,Honey,4,45.0,180.0,81.0,99.0,
T-00029,1,SKU-064,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00029,2,SKU-011,Cosmetics,1,9.0,9.0,3.6,5.4,
T-00030,1,SKU-060,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00030,2,SKU-092,Honey,1,75.0,75.0,33.75,41.25,
T-00030,3,SKU-004,Cosmetics,1,60.0,60.0,24.0,36.0,
T-00031,1,SKU-070,Confectionery,1,12.0,12.0,6.0,6.0,
T-00031,2,SKU-094,Honey,1,45.0,45.0,20.25,24.75,
T-00032,1,SKU-086,Apparel,2,27.0,54.0,21.6,32.4,
T-00032,2,SKU-107,Tea,1,42.0,42.0,16.8,25.2,
T-00033,1,SKU-010,Cosmetics,6,10.0,50.0,23.6,26.4,IP-01
T-00034,1,SKU-012,Cosmetics,1,12.0,12.0,4.8,7.2,
