flight_no,airline,destination,departure_time,flight_status
GA715,Garuda Indonesia,Bali,2024-01-01 07:30:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-01 07:59:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-01 08:45:00,On Time
TG476,Thai Airways,Bangkok,2024-01-01 08:59:00,On Time
MU502,China Eastern,Shanghai,2024-01-01 09:11:00,On Time
PR211,Philippine Airlines,Manila,2024-01-01 09:31:00,On Time
OZ602,Asiana Airlines,Seoul,2024-01-01 09:44:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-01 09:55:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-01 10:29:00,On Time
KE601,Korean Air,Seoul,2024-01-01 11:30:00,On Time
QF7,Qantas,Los Angeles,2024-01-01 11:50:00,On Time
SQ213,Singapore Airlines,Singapore,2024-01-01 13:30:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-01-01 15:45:00,On Time
QF1,Qantas,Singapore,2024-01-01 16:34:00,On Time
QR007,Qatar Airways,Doha,2024-01-01 20:41:00,On Time
EK413,Emirates,Dubai,2024-01-01 21:06:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-02 07:34:00,On Time
TR13,Scoot,Singapore,2024-01-02 07:46:00,On Time
5J32,Cebu Pacific,Manila,2024-01-02 08:01:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-02 08:01:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-02 08:41:00,On Time
MU502,China Eastern,Shanghai,2024-01-02 09:17:00,On Time
CA781,Air China,Beijing,2024-01-02 10:00:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-02 10:04:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-02 10:25:00,Delayed
NH880,ANA,Tokyo,2024-01-02 11:17:00,On Time
KE601,Korean Air,Seoul,2024-01-02 11:29:00,On Time
QF7,Qantas,Los Angeles,2024-01-02 11:56:00,On Time
QF1,Qantas,Singapore,2024-01-02 16:26:00,On Time
UA839,United Airlines,Los Angeles,2024-01-02 20:59:00,On Time
EK413,Emirates,Dubai,2024-01-02 21:07:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-03 07:32:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-03 07:55:00,On Time
TG476,Thai Airways,Bangkok,2024-01-03 09:02:00,On Time
MU502,China Eastern,Shanghai,2024-01-03 09:20:00,On Time
PR211,Philippine Airlines,Manila,2024-01-03 09:34:00,On Time
OZ602,Asiana Airlines,Seoul,2024-01-03 09:46:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-03 09:59:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-03 10:28:00,On Time
KE601,Korean Air,Seoul,2024-01-03 11:35:00,On Time
QF7,Qantas,Los Angeles,2024-01-03 11:57:00,On Time
SQ213,Singapore Airlines,Singapore,2024-01-03 13:25:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-01-03 15:49:00,On Time
QF1,Qantas,Singapore,2024-01-03 16:28:00,On Time
QR007,Qatar Airways,Doha,2024-01-03 20:45:00,On Time
EK413,Emirates,Dubai,2024-01-03 21:07:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-04 07:32:00,Delayed
TR13,Scoot,Singapore,2024-01-04 07:41:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-04 07:55:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-04 08:43:00,On Time
TG476,Thai Airways,Bangkok,2024-01-04 09:01:00,On Time
MU502,China Eastern,Shanghai,2024-01-04 09:18:00,Delayed
JL771,Japan Airlines,Tokyo,2024-01-04 09:59:00,On Time
CA781,Air China,Beijing,2024-01-04 10:00:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-04 10:35:00,On Time
NH880,ANA,Tokyo,2024-01-04 11:13:00,On Time
KE601,Korean Air,Seoul,2024-01-04 11:26:00,On Time
QF7,Qantas,Los Angeles,2024-01-04 11:55:00,Delayed
SQ213,Singapore Airlines,Singapore,2024-01-04 13:33:00,On Time
QF1,Qantas,Singapore,2024-01-04 16:26:00,Delayed
UA839,United Airlines,Los Angeles,2024-01-04 20:55:00,Delayed
EK413,Emirates,Dubai,2024-01-04 21:07:00,Delayed
GA715,Garuda Indonesia,Bali,2024-01-05 07:28:00,On Time
5J32,Cebu Pacific,Manila,2024-01-05 07:59:00,Delayed
SQ211,Singapore Airlines,Singapore,2024-01-05 07:59:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-05 08:45:00,On Time
MU502,China Eastern,Shanghai,2024-01-05 09:16:00,Delayed
PR211,Philippine Airlines,Manila,2024-01-05 09:25:00,On Time
OZ602,Asiana Airlines,Seoul,2024-01-05 09:41:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-05 10:02:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-05 10:32:00,On Time
KE601,Korean Air,Seoul,2024-01-05 11:32:00,On Time
QF7,Qantas,Los Angeles,2024-01-05 11:59:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-01-05 15:47:00,On Time
QF1,Qantas,Singapore,2024-01-05 16:34:00,On Time
QR007,Qatar Airways,Doha,2024-01-05 20:45:00,On Time
EK413,Emirates,Dubai,2024-01-05 21:13:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-06 07:30:00,On Time
TR13,Scoot,Singapore,2024-01-06 07:44:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-06 08:05:00,On Time
TG476,Thai Airways,Bangkok,2024-01-06 08:58:00,On Time
MU502,China Eastern,Shanghai,2024-01-06 09:12:00,On Time
PR211,Philippine Airlines,Manila,2024-01-06 09:33:00,On Time
OZ602,Asiana Airlines,Seoul,2024-01-06 09:41:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-06 09:58:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-06 10:33:00,On Time
NH880,ANA,Tokyo,2024-01-06 11:16:00,On Time
KE601,Korean Air,Seoul,2024-01-06 11:28:00,On Time
QF7,Qantas,Los Angeles,2024-01-06 11:59:00,On Time
SQ213,Singapore Airlines,Singapore,2024-01-06 13:30:00,On Time
QF1,Qantas,Singapore,2024-01-06 16:25:00,On Time
UA839,United Airlines,Los Angeles,2024-01-06 20:58:00,On Time
EK413,Emirates,Dubai,2024-01-06 21:08:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-07 07:32:00,On Time
5J32,Cebu Pacific,Manila,2024-01-07 07:55:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-07 08:00:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-07 08:46:00,On Time
TG476,Thai Airways,Bangkok,2024-01-07 08:57:00,On Time
MU502,China Eastern,Shanghai,2024-01-07 09:11:00,On Time
PR211,Philippine Airlines,Manila,2024-01-07 09:26:00,On Time
OZ602,Asiana Airlines,Seoul,2024-01-07 09:47:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-07 10:04:00,On Time
CA781,Air China,Beijing,2024-01-07 10:05:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-07 10:31:00,On Time
NH880,ANA,Tokyo,2024-01-07 11:13:00,On Time
KE601,Korean Air,Seoul,2024-01-07 11:30:00,On Time
QF7,Qantas,Los Angeles,2024-01-07 11:51:00,On Time
SQ213,Singapore Airlines,Singapore,2024-01-07 13:29:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-01-07 15:43:00,On Time
QF1,Qantas,Singapore,2024-01-07 16:31:00,On Time
QR007,Qatar Airways,Doha,2024-01-07 20:42:00,On Time
UA839,United Airlines,Los Angeles,2024-01-07 20:57:00,On Time
EK413,Emirates,Dubai,2024-01-07 21:10:00,Delayed
GA715,Garuda Indonesia,Bali,2024-01-08 07:33:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-08 07:55:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-08 08:47:00,On Time
TG476,Thai Airways,Bangkok,2024-01-08 08:58:00,On Time
MU502,China Eastern,Shanghai,2024-01-08 09:12:00,Delayed
PR211,Philippine Airlines,Manila,2024-01-08 09:26:00,On Time
OZ602,Asiana Airlines,Seoul,2024-01-08 09:43:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-08 10:01:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-08 10:32:00,On Time
KE601,Korean Air,Seoul,2024-01-08 11:35:00,On Time
QF7,Qantas,Los Angeles,2024-01-08 11:56:00,On Time
SQ213,Singapore Airlines,Singapore,2024-01-08 13:26:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-01-08 15:42:00,On Time
QF1,Qantas,Singapore,2024-01-08 16:31:00,On Time
QR007,Qatar Airways,Doha,2024-01-08 20:49:00,On Time
EK413,Emirates,Dubai,2024-01-08 21:12:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-09 07:32:00,On Time
TR13,Scoot,Singapore,2024-01-09 07:50:00,On Time
5J32,Cebu Pacific,Manila,2024-01-09 07:56:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-09 08:05:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-09 08:46:00,On Time
MU502,China Eastern,Shanghai,2024-01-09 09:15:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-09 09:57:00,On Time
CA781,Air China,Beijing,2024-01-09 10:01:00,Delayed
CX101,Cathay Pacific,Hong Kong,2024-01-09 10:25:00,On Time
NH880,ANA,Tokyo,2024-01-09 11:14:00,On Time
KE601,Korean Air,Seoul,2024-01-09 11:31:00,On Time
QF7,Qantas,Los Angeles,2024-01-09 11:56:00,On Time
QF1,Qantas,Singapore,2024-01-09 16:28:00,On Time
UA839,United Airlines,Los Angeles,2024-01-09 21:02:00,On Time
EK413,Emirates,Dubai,2024-01-09 21:14:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-10 07:33:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-10 07:58:00,On Time
TG476,Thai Airways,Bangkok,2024-01-10 09:05:00,On Time
MU502,China Eastern,Shanghai,2024-01-10 09:20:00,On Time
PR211,Philippine Airlines,Manila,2024-01-10 09:30:00,On Time
OZ602,Asiana Airlines,Seoul,2024-01-10 09:45:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-10 10:00:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-10 10:26:00,On Time
KE601,Korean Air,Seoul,2024-01-10 11:35:00,On Time
QF7,Qantas,Los Angeles,2024-01-10 11:52:00,Cancelled
SQ213,Singapore Airlines,Singapore,2024-01-10 13:25:00,On Time
