customer_id,nationality,age_group
C-00001,CN,Under 20
C-00002,CN,Under 20
C-00003,,
C-00004,AU,60+
C-00005,GB,20s
C-00006,CN,50s
C-00007,CN,40s
C-00008,,
C-00009,CN,Under 20
C-00010,US,Under 20
C-00011,CN,40s
C-00012,NZ,30s
C-00013,SG,60+
C-00014,PH,40s
C-00015,PH,40s
C-00016,IN,60+
C-00017,AU,50s
C-00018,US,20s
C-00019,AU,40s
C-00020,PH,60+
C-00021,,
C-00022,CA,40s
C-00023,,
C-00024,JP,30s
C-00025,AU,40s
C-00026,SG,60+
C-00027,,
C-00028,CA,30s
C-00029,,
C-00030,US,40s
C-00031,CA,50s
C-00032,SG,Under 20
C-00033,IN,30s
C-00034,CN,Under 20
C-00035,PH,Under 20
C-00036,PH,Under 20
C-00037,US,Under 20
C-00038,US,50s
C-00039,CN,60+
C-00040,CA,30s
C-00041,US,30s
C-00042,AU,40s
C-00043,CN,40s
C-00044,JP,50s
C-00045,GB,40s
C-00046,TH,20s
C-00047,CN,50s
C-00048,CN,20s
C-00049,GB,30s
C-00050,CN,50s
C-00051,IN,Under 20
C-00052,TH,Under 20
C-00053,CN,30s
C-00054,CN,60+
C-00055,CN,40s
C-00056,CN,50s
C-00057,PH,Under 20
C-00058,CN,50s
C-00059,,
C-00060,AU,40s
C-00061,KR,60+
C-00062,,
C-00063,GB,50s
C-00064,CN,Under 20
C-00065,NZ,50s
C-00066,PH,30s
C-00067,CN,40s
C-00068,CN,40s
C-00069,US,Under 20
C-00070,CN,60+
C-00071,,
C-00072,GB,50s
C-00073,SG,20s
C-00074,SG,20s
C-00075,AU,50s
C-00076,AU,40s
C-00077,PH,40s
C-00078,,
C-00079,NZ,40s
C-00080,,
C-00081,CN,20s
C-00082,CA,50s
C-00083,CN,40s
C-00084,US,20s
C-00085,,
C-00086,IN,Under 20
C-00087,CN,60+
C-00088,US,40s
C-00089,KR,Under 20
C-00090,JP,40s
C-00091,GB,30s
C-00092,IN,60+
C-00093,JP,40s
C-00094,CN,40s
C-00095,KR,20s
C-00096,IN,50s
C-00097,TH,Under 20
C-00098,CN,60+
C-00099,AU,60+
C-00100,GB,20s
C-00101,IN,Under 20
C-00102,PH,40s
C-00103,JP,50s
C-00104,IN,40s
C-00105,,
C-00106,CN,Under 20
C-00107,US,20s
C-00108,TH,Under 20
C-00109,SG,50s
C-00110,JP,50s
C-00111,AU,50s
C-00112,SG,40s
